LAT;LON;SPEED;ACCURACY;ALTITUDE;HEADING;TIME;ACTIVITY
59.66171911;10.77659081;1.49000000954;3.0;137.0;241.399993896;1486137336.15;gar
59.66169969;10.77651647;1.44000005722;3.0;137.0;248.5;1486137339.13;gar
59.66168233;10.77643973;1.51999998093;3.0;137.0;244.899993896;1486137342.16;gar
59.66166429;10.776369;1.50999999046;3.0;137.0;241.300003052;1486137345.23;gar
59.66164377;10.77628307;1.40999996662;3.0;138.0;244.899993896;1486137349.2;gar
59.66163021;10.77621613;1.44000005722;3.0;138.0;245.300003052;1486137352.22;gar
59.66161518;10.77613897;1.48000001907;3.0;139.0;255.199996948;1486137355.26;gar
59.66160486;10.77605956;1.48000001907;3.0;139.0;257.100006104;1486137358.16;gar
59.66159708;10.77597568;1.37000000477;3.0;140.0;252.100006104;1486137361.17;gar
59.66159504;10.77589464;1.46000003815;3.0;140.0;280.799987793;1486137364.13;gar
59.66161182;10.77580262;1.46000003815;3.0;141.0;295.700012207;1486137368.17;gar
59.66162655;10.77573055;1.48000001907;3.0;141.0;292.200012207;1486137371.19;gar
59.66164439;10.7756495;1.46000003815;3.0;141.0;295.5;1486137374.16;gar
59.66166187;10.77556807;1.50999999046;3.0;140.0;294.200012207;1486137377.18;gar
59.66167918;10.77548998;1.48000001907;3.0;141.0;292.200012207;1486137380.12;gar
59.66169563;10.77541586;1.53999996185;3.0;141.0;288.899993896;1486137383.22;gar
59.66171476;10.77534387;1.46000003815;3.0;141.0;297.5;1486137386.18;gar
59.6617345;10.77527034;1.46000003815;3.0;141.0;298.799987793;1486137389.24;gar
59.6617493;10.77519504;1.37000000477;3.0;142.0;295.899993896;1486137392.19;gar
59.66176998;10.77512566;1.54999995232;3.0;143.0;300.100006104;1486137395.15;gar
59.66179077;10.77505214;1.44000005722;3.0;143.0;298.5;1486137398.16;gar
59.66181109;10.77498119;1.45000004768;3.0;143.0;304.5;1486137401.12;gar
59.66182677;10.77491088;1.57000005245;3.0;144.0;296.299987793;1486137404.12;gar
59.66183894;10.77483217;1.39999997616;3.0;144.0;294.799987793;1486137407.22;gar
59.66185686;10.77476332;1.54999995232;3.0;144.0;300.299987793;1486137410.19;gar
59.66187836;10.77469337;1.44000005722;3.0;145.0;301.700012207;1486137413.22;gar
59.66189507;10.77462138;1.24000000954;3.0;145.0;293.700012207;1486137416.13;gar
59.66191359;10.77455267;1.40999996662;3.0;144.0;290.799987793;1486137419.15;gar
59.66193562;10.77448347;1.34000003338;4.0;145.0;298.200012207;1486137422.13;gar
59.66195739;10.7744241;1.28999996185;4.0;145.0;301.100006104;1486137425.17;gar
59.66197791;10.77435092;1.44000005722;3.0;146.0;297.200012207;1486137428.17;gar
59.66199946;10.77428447;1.30999994278;3.0;146.0;294.700012207;1486137431.25;gar
59.66201575;10.77421034;1.26999998093;3.0;147.0;284.399993896;1486137434.24;gar
59.66203605;10.77413325;1.55999994278;3.0;147.0;301.100006104;1486137437.31;gar
59.66205315;10.7740608;1.42999994755;3.0;148.0;295.899993896;1486137440.22;gar
59.66207457;10.77397629;1.35000002384;3.0;148.0;296.899993896;1486137444.15;gar
59.66209368;10.77388673;1.50999999046;3.0;148.0;296.399993896;1486137448.19;gar
59.66211164;10.77382181;1.39999997616;3.0;149.0;296.399993896;1486137451.24;gar
59.66212878;10.77375213;1.48000001907;3.0;149.0;291.399993896;1486137454.17;gar
59.66214468;10.7736757;1.44000005722;3.0;150.0;290.899993896;1486137457.18;gar
59.66215233;10.77360354;1.44000005722;3.0;150.0;263.5;1486137460.17;gar
59.6621513;10.77350917;1.74000000954;3.0;150.0;267.5;1486137463.08;gar
59.6621511;10.77342402;1.45000004768;3.0;149.0;270.399993896;1486137466.13;gar
59.66214268;10.77333889;1.46000003815;3.0;148.0;258.5;1486137469.11;gar
59.66213416;10.77326704;1.49000000954;3.0;148.0;253.800003052;1486137472.2;gar
59.66212448;10.77317746;1.34000003338;3.0;147.0;257.899993896;1486137475.11;gar
59.66211674;10.77309573;1.41999995708;3.0;147.0;262.600006104;1486137478.19;gar
59.66210546;10.7730055;1.54999995232;3.0;148.0;257.899993896;1486137482.14;gar
59.6620982;10.77293196;1.27999997139;3.0;147.0;257.5;1486137485.29;gar
59.66208905;10.77285399;1.49000000954;3.0;147.0;259.200012207;1486137488.27;gar
59.66207935;10.77277593;1.42999994755;3.0;148.0;254.600006104;1486137491.11;gar
59.66207581;10.77269572;1.29999995232;4.0;149.0;260.0;1486137494.16;gar
59.66206106;10.77262548;1.45000004768;3.0;150.0;237.199996948;1486137497.21;gar
59.66202159;10.77260598;1.32000005245;3.0;148.0;183.600006104;1486137500.17;gar
59.66198257;10.77264048;1.17999994755;3.0;148.0;176.0;1486137504.17;gar
59.66194046;10.77264203;1.66999995708;3.0;148.0;190.100006104;1486137507.15;gar
59.66189727;10.77263803;1.38999998569;3.0;147.0;188.199996948;1486137510.15;gar
59.66185643;10.77265551;1.34000003338;3.0;147.0;163.699996948;1486137513.27;gar
59.66181573;10.77268815;1.42999994755;3.0;147.0;161.699996948;1486137516.19;gar
59.66177622;10.77271237;1.37000000477;3.0;147.0;165.399993896;1486137519.17;gar
59.66173498;10.77273352;1.50999999046;3.0;147.0;172.100006104;1486137522.18;gar
59.66169154;10.77274411;1.45000004768;3.0;147.0;176.100006104;1486137525.15;gar
59.66164802;10.77274876;1.57000005245;3.0;146.0;175.699996948;1486137528.17;gar
59.66160788;10.77274936;1.37999999523;3.0;146.0;176.699996948;1486137531.15;gar
59.66156351;10.77274355;1.50999999046;3.0;145.0;186.800003052;1486137534.15;gar
59.6615267;10.77273718;1.47000002861;3.0;144.0;174.5;1486137537.16;gar
59.66148573;10.77274474;1.41999995708;3.0;144.0;181.699996948;1486137540.2;gar
59.66144147;10.77274327;1.38999998569;3.0;144.0;176.100006104;1486137543.2;gar
59.66140284;10.77275531;1.44000005722;3.0;144.0;168.399993896;1486137546.24;gar
59.66136454;10.77276365;1.36000001431;3.0;143.0;178.699996948;1486137549.15;gar
59.66131624;10.77277029;1.27999997139;3.0;143.0;173.199996948;1486137553.14;gar
59.66128919;10.77271959;1.24000000954;3.0;143.0;246.5;1486137556.1;gar
59.66127075;10.77264923;01.mai;3.0;143.0;257.399993896;1486137559.11;gar
59.6612733;10.77256632;1.29999995232;3.0;142.0;275.899993896;1486137562.13;gar
59.66126781;10.77247931;1.44000005722;4.0;141.0;258.100006104;1486137565.11;gar
